Order_ID,Order_Date,Customer_ID,Product_ID,Quantity,Sales,Cost,Order_Status,Delivery_Date,Estimated_Delivery,Delivered_Quantity
1000,2024-05-25,C004,P035,4,14632.0,10168,Completed,2024-05-31,2024-05-28,4
1001,2024-10-17,C007,P034,3,11265.0,8190,Completed,2024-10-24,2024-10-21,3
1002,2023-10-24,C061,P016,4,17464.0,13056,Completed,2023-10-29,2023-10-29,3
1003,2023-02-24,C061,P026,1,4306.0,3085,Completed,2023-03-04,2023-02-28,1
1004,2023-11-16,C008,P010,1,4270.0,3158,Completed,2023-11-23,2023-11-20,1
1005,2023-02-20,C061,P001,4,15792.0,9568,Completed,2023-02-22,2023-02-26,4
1006,2023-08-12,C040,P030,3,12774.0,8301,Completed,2023-08-14,2023-08-17,3
1007,2024-09-14,C043,P002,2,8442.0,5866,Completed,2024-09-16,2024-09-18,2
1008,2023-06-16,C064,P038,2,9038.0,5466,Completed,2023-06-20,2023-06-20,2
1009,2024-10-28,C025,P048,2,20193.72,11562,Completed,2024-11-02,2024-11-04,2
1010,2023-07-05,C077,P020,4,19248.0,13716,Completed,2023-07-09,2023-07-09,3
1011,2023-10-22,C043,P030,1,4258.0,2767,Returned,2023-10-25,2023-10-27,1
1012,2023-12-02,C060,P008,2,8900.0,6558,Completed,2023-12-04,2023-12-07,2
1013,2023-10-01,C008,P021,2,9664.0,6064,Completed,2023-10-09,2023-10-05,2
1014,2024-01-22,C063,P044,4,40659.93,21124,Completed,2024-01-25,2024-01-28,0
1015,2024-01-25,C057,P022,3,12822.0,8610,Completed,2024-01-31,2024-01-29,3
1016,2023-01-05,C079,P044,2,19538.76,10562,Completed,2023-01-07,2023-01-10,2
1017,2023-04-24,C074,P030,3,12774.0,8301,Completed,2023-05-02,2023-04-30,3
1018,2024-02-06,C065,P059,1,9511.77,5247,Completed,2024-02-11,2024-02-11,1
1019,2024-04-19,C030,P036,3,11397.0,8004,Returned,2024-04-23,2024-04-23,3
